qpp_metric,qpp_type,retrieval_method,nugget_strict_vital_score_pearson_mean,nugget_strict_vital_score_pearson_n,nugget_strict_vital_score_kendall_mean,nugget_strict_vital_score_kendall_n,nugget_strict_all_score_pearson_mean,nugget_strict_all_score_pearson_n,nugget_strict_all_score_kendall_mean,nugget_strict_all_score_kendall_n,nugget_vital_score_pearson_mean,nugget_vital_score_pearson_n,nugget_vital_score_kendall_mean,nugget_vital_score_kendall_n,nugget_all_score_pearson_mean,nugget_all_score_pearson_n,nugget_all_score_kendall_mean,nugget_all_score_kendall_n,retrieval_ndcg@10_pearson_mean,retrieval_ndcg@10_pearson_n,retrieval_ndcg@10_kendall_mean,retrieval_ndcg@10_kendall_n,retrieval_recall@100_pearson_mean,retrieval_recall@100_pearson_n,retrieval_recall@100_kendall_mean,retrieval_recall@100_kendall_n
IDF-avg,pre_cohere,cohere,0.09054988700828762,56,0.07842928479863577,56,0.11071771273838905,56,0.0870272711933537,56,0.10393018532557549,56,0.07409325604989529,56,0.11848330540461252,56,0.07798836803221056,56,-0.13036860565610758,56,-0.07949478054107798,56,-0.20845365397840135,56,-0.15501089434785756,56
IDF-max,pre_cohere,cohere,0.08971988823187171,56,0.07040433967733388,56,0.05493546066924971,56,0.03966970661360986,56,0.08124745857244896,56,0.05257903434526713,56,0.050267571090473896,56,0.02371550357675766,56,0.004395095428321616,56,-0.008882649956332167,56,-0.05751360723318653,56,-0.043007838257334834,56
IDF-std,pre_cohere,cohere,-0.016552487554553345,56,-0.013090444682632763,56,-0.024464474723751184,56,-0.017175251849422295,56,-0.013918236873453916,56,-0.0046919438439715615,56,-0.0370426574130404,56,-0.020402765662384043,56,0.027312412115470176,56,0.03726786282197756,56,0.053362636781790145,56,0.07883514485152711,56
IDF-sum,pre_cohere,cohere,0.1091545193500439,56,0.09599475007815772,56,0.09654475450134235,56,0.0731300662663422,56,0.09780618308308166,56,0.08126162668656958,56,0.08455223462757452,56,0.06258021558365436,56,-0.0659616727135255,56,-0.03133914839256519,56,-0.11213237589450036,56,-0.09089046670299053,56
RSD,post_cohere,cohere,0.0007085174000132475,56,0.011017100566392197,56,-0.020378937871308015,56,-0.021085441025141854,56,-0.0026586254351283656,56,0.016683075256267256,56,-0.012617190876170156,56,-0.008742068487991151,56,0.3172288583829698,56,0.21697578523622246,56,0.4171295387899018,56,0.303700516657058,56
SCQ-avg,pre_cohere,cohere,0.09947142664320038,56,0.09018494423359102,56,0.11689727237512129,56,0.09588677008812527,56,0.11070546153293094,56,0.08691955147805527,56,0.1252514045510217,56,0.0888404616442809,56,-0.12745098023383564,56,-0.0715226760031843,56,-0.21054180953431717,56,-0.15390291542843412,56
SCQ-max,pre_cohere,cohere,0.07819977651738735,54,0.06714296207989887,54,0.0631781969147757,54,0.050321774343066124,54,0.07128065914702574,54,0.04422232589523166,54,0.06898338465087454,54,0.042286386018776774,54,-0.036507495039063316,54,-0.02914280335419537,54,-0.09463803623240354,54,-0.07740916951157455,54
SCQ-sum,pre_cohere,cohere,0.1096280195755761,56,0.09560691062112518,56,0.09617185686645056,56,0.07207448920152519,56,0.0977841971848002,56,0.08101891830679331,56,0.08394051071030427,56,0.06147496166655749,56,-0.0626389990597045,56,-0.030620258465723724,56,-0.1082135061112119,56,-0.08785801768276442,56
SCS-1,pre_cohere,cohere,-0.10393908492522853,56,-0.05760992815997678,56,-0.0618769985941077,56,-0.02387740303155848,56,-0.09329961764644777,56,-0.051471444972843915,56,-0.05929592953495594,56,-0.023752130230468887,56,-0.0002328974959431494,56,-0.0039094329505117665,56,0.041746062186571224,56,0.014369717278586809,56
SCS-2,pre_cohere,cohere,0.07903154751981388,56,0.06588779251796105,56,0.09698050804684587,56,0.07592729307612685,56,0.07480898070110834,56,0.050796426370422,56,0.09062381801361497,56,0.05415011502121727,56,-0.14769379135298646,56,-0.08622965019896818,56,-0.20509131826157603,56,-0.15352648292983748,56
avgICTF,pre_cohere,cohere,0.10550979762699848,56,0.09017970735832011,56,0.11938674997675126,56,0.09381489057128956,56,0.11846805845289123,56,0.08311815040095476,56,0.1258062369973324,56,0.08097754734199626,56,-0.1269697037721232,56,-0.08696244374139557,56,-0.19040465432569093,56,-0.15062665798115712,56
clarity-score-k10,post_cohere,cohere,0.03770220030034189,56,0.029298072959525107,56,0.06255115377017897,56,0.03989437266853096,56,0.03332279308704864,56,0.023564256847650147,56,0.06633781776041625,56,0.03562983035358904,56,0.0652479646831756,56,0.02890366972949688,56,0.0818800203344143,56,0.0528769275659269,56
clarity-score-k100,post_cohere,cohere,-0.030988503880799774,56,-0.027764563442549812,56,-0.03574390164492066,56,-0.03210891786000868,56,-0.007220699596201831,56,-0.012204792467572842,56,0.008421457712560806,56,-0.004033580161452666,56,-0.02191337470589712,56,-0.025791242418503117,56,-0.001657501662449468,56,0.0030539408133818204,56
nqc-no-norm-k100,post_cohere,cohere,-0.009445068164967057,56,-0.0026405329734630304,56,-0.02616953014467035,56,-0.026457013095169905,56,-0.009064135091881278,56,0.004181574241218631,56,-0.019855645318996758,56,-0.014312564201557769,56,0.3254322048461491,56,0.2227555575334254,56,0.4190599893656041,56,0.3175781269226592,56
nqc-norm-k100,post_cohere,cohere,-0.02234094037204651,56,-0.016909369259091225,56,-0.018386867974671726,56,-0.020210655704492642,56,-0.020541720781044746,56,-0.009537226062290833,56,-0.014293617504946279,56,-0.011515223032129,56,0.2879455969487766,56,0.19370068171895682,56,0.36580077625591556,56,0.2663166591458295,56
ql,pre_cohere,cohere,0.10871976324079834,56,0.08655024590963807,56,0.09075034571055894,56,0.06227844335187781,56,0.09540143674883664,56,0.07505201880985167,56,0.07715231023783027,56,0.053162678607022056,56,-0.045002559374452335,56,-0.025225608610661445,56,-0.0837181369979604,56,-0.07119304550291343,56
rv_bert,pre_cohere,cohere,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
rv_e5,pre_cohere,cohere,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
sigma-max,post_cohere,cohere,0.01371785075948356,56,0.013621285717781095,56,-0.007333596778719482,56,-0.01044587688460876,56,0.017090074792680397,56,0.011573175685995921,56,-0.00011452282938670498,56,-0.00982536625850805,56,0.28353737689627007,56,0.2007072990045527,56,0.3685744459410688,56,0.2850697017286844,56
sigma-x0.5,post_cohere,cohere,-0.10294003185734514,56,-0.08338597620947155,56,-0.07341751656665109,56,-0.05982909228471179,56,-0.10641521706711024,56,-0.07137482283089339,56,-0.08129970013342636,56,-0.05176562712984123,56,0.07502514492996448,56,0.07839866404051368,56,0.16449966808880476,56,0.14226125400463566,56
