qpp_metric,qpp_type,nugget_strict_vital_score_pearson_mean,nugget_strict_vital_score_kendall_mean,nugget_strict_all_score_pearson_mean,nugget_strict_all_score_kendall_mean,nugget_vital_score_pearson_mean,nugget_vital_score_kendall_mean,nugget_all_score_pearson_mean,nugget_all_score_kendall_mean,retrieval_ndcg@10_pearson_mean,retrieval_ndcg@10_kendall_mean,retrieval_recall@100_pearson_mean,retrieval_recall@100_kendall_mean
IDF-avg,pre_cohere,0.0905,0.0784,0.1107,0.087,0.1039,0.0741,0.1185,0.078,-0.1304,-0.0795,-0.2085,-0.155
IDF-max,pre_cohere,0.0897,0.0704,0.0549,0.0397,0.0812,0.0526,0.0503,0.0237,0.0044,-0.0089,-0.0575,-0.043
IDF-std,pre_cohere,-0.0166,-0.0131,-0.0245,-0.0172,-0.0139,-0.0047,-0.037,-0.0204,0.0273,0.0373,0.0534,0.0788
IDF-sum,pre_cohere,0.1092,0.096,0.0965,0.0731,0.0978,0.0813,0.0846,0.0626,-0.066,-0.0313,-0.1121,-0.0909
RSD,post_cohere,0.0007,0.011,-0.0204,-0.0211,-0.0027,0.0167,-0.0126,-0.0087,0.3172,0.217,0.4171,0.3037
SCQ-avg,pre_cohere,0.0995,0.0902,0.1169,0.0959,0.1107,0.0869,0.1253,0.0888,-0.1275,-0.0715,-0.2105,-0.1539
SCQ-max,pre_cohere,0.0782,0.0671,0.0632,0.0503,0.0713,0.0442,0.069,0.0423,-0.0365,-0.0291,-0.0946,-0.0774
SCQ-sum,pre_cohere,0.1096,0.0956,0.0962,0.0721,0.0978,0.081,0.0839,0.0615,-0.0626,-0.0306,-0.1082,-0.0879
SCS-1,pre_cohere,-0.1039,-0.0576,-0.0619,-0.0239,-0.0933,-0.0515,-0.0593,-0.0238,-0.0002,-0.0039,0.0417,0.0144
SCS-2,pre_cohere,0.079,0.0659,0.097,0.0759,0.0748,0.0508,0.0906,0.0542,-0.1477,-0.0862,-0.2051,-0.1535
avgICTF,pre_cohere,0.1055,0.0902,0.1194,0.0938,0.1185,0.0831,0.1258,0.081,-0.127,-0.087,-0.1904,-0.1506
clarity-score-k10,post_cohere,0.0377,0.0293,0.0626,0.0399,0.0333,0.0236,0.0663,0.0356,0.0652,0.0289,0.0819,0.0529
clarity-score-k100,post_cohere,-0.031,-0.0278,-0.0357,-0.0321,-0.0072,-0.0122,0.0084,-0.004,-0.0219,-0.0258,-0.0017,0.0031
nqc-no-norm-k100,post_cohere,-0.0094,-0.0026,-0.0262,-0.0265,-0.0091,0.0042,-0.0199,-0.0143,0.3254,0.2228,0.4191,0.3176
nqc-norm-k100,post_cohere,-0.0223,-0.0169,-0.0184,-0.0202,-0.0205,-0.0095,-0.0143,-0.0115,0.2879,0.1937,0.3658,0.2663
ql,pre_cohere,0.1087,0.0866,0.0908,0.0623,0.0954,0.0751,0.0772,0.0532,-0.045,-0.0252,-0.0837,-0.0712
rv_bert,pre_cohere,,,,,,,,,,,,
rv_e5,pre_cohere,,,,,,,,,,,,
sigma-max,post_cohere,0.0137,0.0136,-0.0073,-0.0104,0.0171,0.0116,-0.0001,-0.0098,0.2835,0.2007,0.3686,0.2851
sigma-x0.5,post_cohere,-0.1029,-0.0834,-0.0734,-0.0598,-0.1064,-0.0714,-0.0813,-0.0518,0.075,0.0784,0.1645,0.1423
smv-no-norm-k100,post_cohere,0.0007,0.011,-0.0204,-0.0211,-0.0027,0.0167,-0.0126,-0.0087,0.3172,0.217,0.4171,0.3037
smv-norm-k100,post_cohere,-0.0186,-0.0131,-0.0209,-0.0217,-0.0211,-0.011,-0.0162,-0.0134,0.2882,0.1987,0.3775,0.2737
wig-no-norm-k100,post_cohere,-0.1069,-0.0878,-0.0782,-0.065,-0.1097,-0.0735,-0.0855,-0.0535,0.0325,0.0283,0.115,0.0868
wig-no-norm-k1000,post_cohere,-0.1069,-0.0878,-0.0782,-0.065,-0.1097,-0.0735,-0.0855,-0.0535,0.0325,0.0283,0.115,0.0868
wig-norm-k100,post_cohere,-0.1074,-0.0754,-0.0781,-0.0557,-0.1102,-0.0646,-0.0848,-0.0446,0.0189,0.02,0.1022,0.0722
wig-norm-k1000,post_cohere,,,,,,,,,,,,
