qpp_metric,qpp_type,retrieval_method,nugget_strict_vital_score_pearson_mean,nugget_strict_vital_score_pearson_n,nugget_strict_vital_score_kendall_mean,nugget_strict_vital_score_kendall_n,nugget_strict_all_score_pearson_mean,nugget_strict_all_score_pearson_n,nugget_strict_all_score_kendall_mean,nugget_strict_all_score_kendall_n,nugget_vital_score_pearson_mean,nugget_vital_score_pearson_n,nugget_vital_score_kendall_mean,nugget_vital_score_kendall_n,nugget_all_score_pearson_mean,nugget_all_score_pearson_n,nugget_all_score_kendall_mean,nugget_all_score_kendall_n,retrieval_ndcg@10_pearson_mean,retrieval_ndcg@10_pearson_n,retrieval_ndcg@10_kendall_mean,retrieval_ndcg@10_kendall_n,retrieval_recall@100_pearson_mean,retrieval_recall@100_pearson_n,retrieval_recall@100_kendall_mean,retrieval_recall@100_kendall_n
IDF-avg,pre_pyserini,pyserini,0.07123255087467392,56,0.05877535766058111,56,0.10139277539199201,56,0.0815217226341953,56,0.09611192398775677,56,0.07699521052968149,56,0.12546237102366134,56,0.09512543500936488,56,-0.13656254515806812,56,-0.08761099779197254,56,-0.1375491031021062,56,-0.07688776080616247,56
IDF-max,pre_pyserini,pyserini,0.16227200395683625,56,0.12108760311969016,56,0.19456078536821517,56,0.1353317580151418,56,0.18908745426910567,56,0.13713469969044273,56,0.21723633181193738,56,0.14469671513437435,56,0.10093048872466488,56,0.07502427419640888,56,0.11651573986261995,56,0.09771190044539509,56
IDF-std,pre_pyserini,pyserini,0.08241174587755991,56,0.05336867233863144,56,0.04468053791800259,56,0.02910871741882843,56,0.06232286366004325,56,0.03473861288055415,56,0.015125096952776317,56,0.0097298136594691,56,0.09909148689638626,56,0.08330921843751013,56,0.059578099181675746,56,0.06977382560157581,56
IDF-sum,pre_pyserini,pyserini,0.13306464104866766,56,0.12241656450500149,56,0.16043747001206413,56,0.15131809974540458,56,0.15415271901792016,56,0.1468562704231195,56,0.1782724604044193,56,0.16664042886678093,56,0.006213186468347146,56,-0.0005357296785893074,56,0.0760979462069917,56,0.04626258627980588,56
RSD,post_pyserini,pyserini,0.11688598918249067,56,0.11976777188193279,56,0.13648439310643187,56,0.14069132400557632,56,0.1331441184680487,56,0.13790307454629677,56,0.14966072341089337,56,0.14943786496870273,56,-0.010329559255996738,56,0.00462158737241478,56,0.07287391469684101,56,0.074782558043008,56
SCQ-avg,pre_pyserini,pyserini,0.0654539526384492,56,0.058707846474280616,56,0.10204101321559451,56,0.08543414282837249,56,0.08873422816146717,56,0.08128277542698033,56,0.12412382055056322,56,0.10446532021630642,56,-0.1486775632274185,56,-0.09335507341695455,56,-0.13731275508525312,56,-0.07121685964307055,56
SCQ-max,pre_pyserini,pyserini,0.17205189952037186,54,0.11733568723882762,54,0.20339278397274718,54,0.14896623163611142,54,0.18597829636192012,54,0.12502591022417864,54,0.22197761601778918,54,0.16209235986946316,54,0.046744741695972584,54,0.04236368559788546,54,0.07296539652079555,54,0.0620652547471742,54
SCQ-sum,pre_pyserini,pyserini,0.13338899068337257,56,0.12134508027150945,56,0.16043163977539557,56,0.14997635715186775,56,0.15492905568355383,56,0.14619857828803745,56,0.17862664280228047,56,0.1663312278894187,56,0.009849729525146364,56,0.002448289230393768,56,0.08042792926476205,56,0.04790528999410114,56
SCS-1,pre_pyserini,pyserini,-0.17408058333189486,56,-0.11792120472561352,56,-0.19269147665185146,56,-0.13125425314251588,56,-0.19601226450865772,56,-0.1358806957931633,56,-0.20913938615720382,56,-0.14067008630682287,56,-0.08878766954076567,56,-0.06767396186467964,56,-0.1801211462568238,56,-0.128236460420196,56
SCS-2,pre_pyserini,pyserini,0.03589907664211551,56,0.032705528583367935,56,0.06146441770552765,56,0.05581781157851988,56,0.04415006181141745,56,0.044041935786473294,56,0.07004308315455199,56,0.06105180800798698,56,-0.09275033394224329,56,-0.059922624339740695,56,-0.06523212650467512,56,-0.025955945768935593,56
avgICTF,pre_pyserini,pyserini,0.10698605883610865,56,0.08493082818244171,56,0.13438631710550727,56,0.10610679491340327,56,0.13484628953980235,56,0.10208292705004862,56,0.16016274196061872,56,0.11886545545720982,56,-0.11273173293380889,56,-0.07490381692091928,56,-0.09957080031997827,56,-0.0584630522781869,56
clarity-score-k10,post_pyserini,pyserini,0.017265017686348496,56,0.007122736730607244,56,0.043989353944672446,56,0.021588406760285644,56,0.02916824962869748,56,0.013612587761168705,56,0.034508831583388584,56,0.008575593039085462,56,-0.08157139129582573,56,-0.07780025983243397,56,-0.02745353401336673,56,-0.030513594561685616,56
clarity-score-k100,post_pyserini,pyserini,-0.07590825462239648,56,-0.06734914462989618,56,-0.05121937250748588,56,-0.05343986232991204,56,-0.07072709482686766,56,-0.058417984910801836,56,-0.0442884044241087,56,-0.04029981148300991,56,-0.1016821071260845,56,-0.07506379985918832,56,-0.09344891069830473,56,-0.06096020485079463,56
nqc-no-norm-k100,post_pyserini,pyserini,0.1162698947377965,56,0.11962834374103937,56,0.13789402648044927,56,0.14154808829099155,56,0.1335375377802803,56,0.13926296037790092,56,0.1518699145516789,56,0.15266307393955167,56,-0.007379685493973567,56,0.0077122976275617134,56,0.06843678002568493,56,0.07194395704496528,56
nqc-norm-k100,post_pyserini,pyserini,0.1499961508598521,56,0.10992501187965296,56,0.13747900469683164,56,0.10660771320454056,56,0.1326178108094578,56,0.08743978624094091,56,0.11404915406411911,56,0.0853168493454736,56,0.21820663159154768,56,0.15373037737955036,56,0.32475958267786,56,0.2322593153179285,56
ql,pre_pyserini,pyserini,0.14098638057910268,56,0.12578384690611433,56,0.1653147954051293,56,0.15295659399796632,56,0.16323988930330194,56,0.15030253527611784,56,0.18365556881502312,56,0.1684668971776754,56,0.028921679766431563,56,0.010331790653661493,56,0.10837904313537237,56,0.06404249822812935,56
rv_bert,pre_pyserini,pyserini,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
rv_e5,pre_pyserini,pyserini,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
sigma-max,post_pyserini,pyserini,0.11330665231108113,56,0.11470659116383013,56,0.13623047574298555,56,0.13894856423670027,56,0.1318550088938679,56,0.13560499688341002,56,0.15109931152681,56,0.15169241801676114,56,-0.005141878917167101,56,0.0034490000452231176,56,0.06854367866559401,56,0.06426810323408937,56
sigma-x0.5,post_pyserini,pyserini,0.12386822567919331,56,0.10689330438868479,56,0.13551603004892168,56,0.11774232104343726,56,0.1403977171168709,56,0.12034401533313058,56,0.14793879915833882,56,0.12594659701067154,56,-0.0243576034074254,56,-0.007844290355404283,56,0.0562188588778954,56,0.05673633081808311,56
smv-no-norm-k100,post_pyserini,pyserini,0.11688598918249067,56,0.11976777188193279,56,0.13648439310643187,56,0.14069132400557632,56,0.1331441184680487,56,0.13790307454629677,56,0.14966072341089337,56,0.14943786496870273,56,-0.010329559255996738,56,0.00462158737241478,56,0.07287391469684101,56,0.074782558043008,56
smv-norm-k100,post_pyserini,pyserini,0.1550704282232589,56,0.11533646088810272,56,0.13874386278420076,56,0.10966984591398575,56,0.13393258667998598,56,0.08625045164174527,56,0.11345381713906558,56,0.08584510486325696,56,0.19925136292028278,56,0.14316381222357144,56,0.32400714283600884,56,0.23817986487687665,56
wig-no-norm-k100,post_pyserini,pyserini,0.07671574060493115,56,0.06668462615625645,56,0.1114516497701579,56,0.09373029893416929,56,0.09474037082982502,56,0.08351145617710694,56,0.1285009021510872,56,0.10383219744982967,56,-0.09173661681496988,56,-0.055245923384080665,56,-0.049463552031714604,56,-0.007806075306301632,56
wig-no-norm-k1000,post_pyserini,pyserini,0.07671574060493115,56,0.06668462615625645,56,0.1114516497701579,56,0.09373029893416929,56,0.09474037082982502,56,0.08351145617710694,56,0.1285009021510872,56,0.10383219744982967,56,-0.09173661681496988,56,-0.055245923384080665,56,-0.049463552031714604,56,-0.007806075306301632,56
wig-norm-k100,post_pyserini,pyserini,-0.1911139935362466,56,-0.13206965614261634,56,-0.2195760279976182,56,-0.15496387732297126,56,-0.21687504530681517,56,-0.1529930196648599,56,-0.23765768262239648,56,-0.1687761347528959,56,-0.05215189176791644,56,-0.02547484988456633,56,-0.11264251519911006,56,-0.07366327178363244,56
wig-norm-k1000,post_pyserini,pyserini,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
