qpp_metric,qpp_type,nugget_strict_vital_score_pearson_mean,nugget_strict_vital_score_kendall_mean,nugget_strict_all_score_pearson_mean,nugget_strict_all_score_kendall_mean,nugget_vital_score_pearson_mean,nugget_vital_score_kendall_mean,nugget_all_score_pearson_mean,nugget_all_score_kendall_mean,retrieval_ndcg@10_pearson_mean,retrieval_ndcg@10_kendall_mean,retrieval_recall@100_pearson_mean,retrieval_recall@100_kendall_mean
IDF-avg,pre_pyserini,0.0712,0.0588,0.1014,0.0815,0.0961,0.077,0.1255,0.0951,-0.1366,-0.0876,-0.1375,-0.0769
IDF-max,pre_pyserini,0.1623,0.1211,0.1946,0.1353,0.1891,0.1371,0.2172,0.1447,0.1009,0.075,0.1165,0.0977
IDF-std,pre_pyserini,0.0824,0.0534,0.0447,0.0291,0.0623,0.0347,0.0151,0.0097,0.0991,0.0833,0.0596,0.0698
IDF-sum,pre_pyserini,0.1331,0.1224,0.1604,0.1513,0.1542,0.1469,0.1783,0.1666,0.0062,-0.0005,0.0761,0.0463
RSD,post_pyserini,0.1169,0.1198,0.1365,0.1407,0.1331,0.1379,0.1497,0.1494,-0.0103,0.0046,0.0729,0.0748
SCQ-avg,pre_pyserini,0.0655,0.0587,0.102,0.0854,0.0887,0.0813,0.1241,0.1045,-0.1487,-0.0934,-0.1373,-0.0712
SCQ-max,pre_pyserini,0.1721,0.1173,0.2034,0.149,0.186,0.125,0.222,0.1621,0.0467,0.0424,0.073,0.0621
SCQ-sum,pre_pyserini,0.1334,0.1213,0.1604,0.15,0.1549,0.1462,0.1786,0.1663,0.0098,0.0024,0.0804,0.0479
SCS-1,pre_pyserini,-0.1741,-0.1179,-0.1927,-0.1313,-0.196,-0.1359,-0.2091,-0.1407,-0.0888,-0.0677,-0.1801,-0.1282
SCS-2,pre_pyserini,0.0359,0.0327,0.0615,0.0558,0.0442,0.044,0.07,0.0611,-0.0928,-0.0599,-0.0652,-0.026
avgICTF,pre_pyserini,0.107,0.0849,0.1344,0.1061,0.1348,0.1021,0.1602,0.1189,-0.1127,-0.0749,-0.0996,-0.0585
clarity-score-k10,post_pyserini,0.0173,0.0071,0.044,0.0216,0.0292,0.0136,0.0345,0.0086,-0.0816,-0.0778,-0.0275,-0.0305
clarity-score-k100,post_pyserini,-0.0759,-0.0673,-0.0512,-0.0534,-0.0707,-0.0584,-0.0443,-0.0403,-0.1017,-0.0751,-0.0934,-0.061
nqc-no-norm-k100,post_pyserini,0.1163,0.1196,0.1379,0.1415,0.1335,0.1393,0.1519,0.1527,-0.0074,0.0077,0.0684,0.0719
nqc-norm-k100,post_pyserini,0.15,0.1099,0.1375,0.1066,0.1326,0.0874,0.114,0.0853,0.2182,0.1537,0.3248,0.2323
ql,pre_pyserini,0.141,0.1258,0.1653,0.153,0.1632,0.1503,0.1837,0.1685,0.0289,0.0103,0.1084,0.064
rv_bert,pre_pyserini,,,,,,,,,,,,
rv_e5,pre_pyserini,,,,,,,,,,,,
sigma-max,post_pyserini,0.1133,0.1147,0.1362,0.1389,0.1319,0.1356,0.1511,0.1517,-0.0051,0.0034,0.0685,0.0643
sigma-x0.5,post_pyserini,0.1239,0.1069,0.1355,0.1177,0.1404,0.1203,0.1479,0.1259,-0.0244,-0.0078,0.0562,0.0567
smv-no-norm-k100,post_pyserini,0.1169,0.1198,0.1365,0.1407,0.1331,0.1379,0.1497,0.1494,-0.0103,0.0046,0.0729,0.0748
smv-norm-k100,post_pyserini,0.1551,0.1153,0.1387,0.1097,0.1339,0.0863,0.1135,0.0858,0.1993,0.1432,0.324,0.2382
wig-no-norm-k100,post_pyserini,0.0767,0.0667,0.1115,0.0937,0.0947,0.0835,0.1285,0.1038,-0.0917,-0.0552,-0.0495,-0.0078
wig-no-norm-k1000,post_pyserini,0.0767,0.0667,0.1115,0.0937,0.0947,0.0835,0.1285,0.1038,-0.0917,-0.0552,-0.0495,-0.0078
wig-norm-k100,post_pyserini,-0.1911,-0.1321,-0.2196,-0.155,-0.2169,-0.153,-0.2377,-0.1688,-0.0522,-0.0255,-0.1126,-0.0737
wig-norm-k1000,post_pyserini,,,,,,,,,,,,
