qpp_metric,retrieval_method,n_queries,nugget_strict_vital_score_mean,nugget_strict_vital_score_std,nugget_strict_vital_score_n,nugget_strict_all_score_mean,nugget_strict_all_score_std,nugget_strict_all_score_n,nugget_vital_score_mean,nugget_vital_score_std,nugget_vital_score_n,nugget_all_score_mean,nugget_all_score_std,nugget_all_score_n,genonly_strict_vital_score_mean,genonly_strict_vital_score_std,genonly_strict_vital_score_n,genonly_strict_all_score_mean,genonly_strict_all_score_std,genonly_strict_all_score_n,genonly_vital_score_mean,genonly_vital_score_std,genonly_vital_score_n,genonly_all_score_mean,genonly_all_score_std,genonly_all_score_n,retrieval_ndcg@5_mean,retrieval_ndcg@5_std,retrieval_ndcg@5_n,retrieval_ndcg@10_mean,retrieval_ndcg@10_std,retrieval_ndcg@10_n,retrieval_recall@100_mean,retrieval_recall@100_std,retrieval_recall@100_n
pre_IDF-avg,cohere,56,0.3936986624486624,0.2513161195612307,56,0.31681686277136295,0.20699195619320285,56,0.4521315737833595,0.25116821938596773,56,0.3715176533056481,0.21142422420474444,56,,,0,,,0,,,0,,,0,0.539793892838409,0.2642682053907644,56,0.510164955372414,0.2316272991332156,56,0.3324904904640183,0.17126907511763662,56
pre_IDF-max,cohere,56,0.3789638932496075,0.22470052457842551,56,0.2979135292934497,0.1848465890242996,56,0.44916502148645004,0.22999509978049507,56,0.3551986351680901,0.19760379405868647,56,,,0,,,0,,,0,,,0,0.5273945378106715,0.252574048185699,56,0.5200064670690521,0.2304602102524036,56,0.3530023760775439,0.17501312212922726,56
pre_IDF-std,cohere,56,0.36795952063809206,0.24768668567442534,56,0.289532440077,0.18927870541109776,56,0.4401000413277199,0.2640125302333204,56,0.34727398799815595,0.2022835175139261,56,,,0,,,0,,,0,,,0,0.5318541382689409,0.2559086831851301,56,0.5184068568350549,0.24808754481131945,56,0.3558163598313149,0.16214099115495614,56
pre_IDF-sum,cohere,56,0.39334725294546724,0.26047594722270706,56,0.32186008083149836,0.2053212637992896,56,0.44803776332794193,0.24569642970089697,56,0.3796298715934663,0.20385792904224778,56,,,0,,,0,,,0,,,0,0.5184399584877873,0.25796868684543617,56,0.49933217377734085,0.2383791746117232,56,0.34395730654726187,0.18230224160039885,56
RSD,cohere,56,0.35032906082013227,0.20868902777430795,56,0.2922914568231906,0.1789049429739335,56,0.4174388483540269,0.21315535892409418,56,0.35202701219120947,0.18082560311681542,56,,,0,,,0,,,0,,,0,0.6010883102414492,0.26166521122759595,56,0.5738283856207952,0.22903663638416258,56,0.38636074129990433,0.17596518497638128,56
pre_SCQ-avg,cohere,56,0.3569336913086913,0.2520441989358432,56,0.2920758299946159,0.19732842100346495,56,0.4215715088482946,0.24919913724293324,56,0.3546104358732206,0.20061912848584046,56,,,0,,,0,,,0,,,0,0.5425532301614615,0.2547686423865729,56,0.5116554807360678,0.22686142047696603,56,0.33763967265272327,0.17505356532778926,56
pre_SCQ-max,cohere,56,0.38860346003203144,0.25626172138844744,56,0.3283871369674111,0.2213384809329739,56,0.4415292792524935,0.2543247831439921,56,0.37751568422731624,0.2256389529313602,56,,,0,,,0,,,0,,,0,0.5157139120243436,0.24750052829185248,56,0.5067871284875325,0.23480363848080438,56,0.3391903287598761,0.1627122528161629,56
pre_SCQ-sum,cohere,56,0.38838049351442205,0.2628486157673996,56,0.3152214988252693,0.20828698357755315,56,0.4445268892813536,0.24732573352397644,56,0.3737592716052192,0.20677011823959285,56,,,0,,,0,,,0,,,0,0.513349777361231,0.26426867404218085,56,0.49595785097074135,0.2462677746406299,56,0.34144512468725396,0.18401666226100877,56
pre_SCS-1,cohere,56,0.3108965934858792,0.21890774068631053,56,0.26703560211963573,0.17714785527004495,56,0.37576733782090926,0.22196643860175597,56,0.31551252931242424,0.18512510275612873,56,,,0,,,0,,,0,,,0,0.5580687080127605,0.259813305743647,56,0.5395406675229323,0.24200024771925344,56,0.3740172000740367,0.14226243828415167,56
pre_SCS-2,cohere,56,0.37147715875394444,0.2565646788760789,56,0.3213449607391724,0.20018595569144615,56,0.4371806640779855,0.24982457764310836,56,0.3782377354849436,0.19963257771498513,56,,,0,,,0,,,0,,,0,0.5153558044570302,0.24504057211969768,56,0.4938773359404229,0.22822086405472522,56,0.32720543305168387,0.1781935730037302,56
pre_avgICTF,cohere,56,0.39918335632621343,0.24931359061162842,56,0.32569392321092344,0.20344625449603365,56,0.45729739010989007,0.24898921850115108,56,0.38348251136425615,0.2065312370659999,56,,,0,,,0,,,0,,,0,0.5340693838244862,0.2642962371139636,56,0.502707527771473,0.23854245915809477,56,0.33270222436376934,0.1730737487469473,56
clarity-score-k10,cohere,56,0.3307263421102707,0.23224646147994465,56,0.2933910245947232,0.19222244426887922,56,0.4060007205096491,0.22270617332307152,56,0.34905860573741215,0.19376578643897022,56,,,0,,,0,,,0,,,0,0.5138927324804405,0.2647639809687015,56,0.5093230765072179,0.23679273124023908,56,0.36112510917238655,0.1859598184214465,56
clarity-score-k100,cohere,56,0.3284148886827459,0.23299980767126466,56,0.27622095442888234,0.19488067123726302,56,0.4132940224458081,0.24050248127171991,56,0.34709471711178647,0.2070335983946297,56,,,0,,,0,,,0,,,0,0.5179880371868694,0.24432923425424888,56,0.5071254258153319,0.23633328082795085,56,0.34785547132342826,0.17824319696767893,56
nqc-no-norm-k100,cohere,56,0.3324748911802483,0.206914692487927,56,0.29074670430679944,0.17969454493854692,56,0.40203758295276154,0.21173725515486422,56,0.35089583055188706,0.18859249787501545,56,,,0,,,0,,,0,,,0,0.5800776091792421,0.26845687924716616,56,0.5669321412144795,0.23622381053333885,56,0.38001491821894284,0.1736554839019435,56
nqc-norm-k100,cohere,56,0.3501548798423798,0.218556310869576,56,0.2997661643635494,0.18307518296136216,56,0.422764623769088,0.22152965919569995,56,0.35994978357248925,0.18983285782181167,56,,,0,,,0,,,0,,,0,0.5834984816981209,0.26391890437734083,56,0.5681992011549585,0.23085388603208243,56,0.3820822538690468,0.17546684187856146,56
pre_ql,cohere,56,0.3859402254491541,0.23824280372164425,56,0.308257084271569,0.2004416125181598,56,0.4439650007730365,0.23134334409184198,56,0.36338109571365046,0.20274759752995627,56,,,0,,,0,,,0,,,0,0.526926852019694,0.2578655906838866,56,0.5130146494753215,0.24081166492676293,56,0.3490940311246141,0.16820430537228995,56
pre_rv_bert,cohere,56,0.3108965934858792,0.21890774068631053,56,0.26703560211963573,0.17714785527004495,56,0.37576733782090926,0.22196643860175597,56,0.31551252931242424,0.18512510275612873,56,,,0,,,0,,,0,,,0,0.5580687080127605,0.259813305743647,56,0.5395406675229323,0.24200024771925344,56,0.3740172000740367,0.14226243828415167,56
pre_rv_e5,cohere,56,0.3108965934858792,0.21890774068631053,56,0.26703560211963573,0.17714785527004495,56,0.37576733782090926,0.22196643860175597,56,0.31551252931242424,0.18512510275612873,56,,,0,,,0,,,0,,,0,0.5580687080127605,0.259813305743647,56,0.5395406675229323,0.24200024771925344,56,0.3740172000740367,0.14226243828415167,56
sigma-max,cohere,56,0.35235268204018205,0.200456383749312,56,0.29781256240994747,0.17686150393927524,56,0.42793153027528025,0.19885019276032742,56,0.3607119554284111,0.17853893286920833,56,,,0,,,0,,,0,,,0,0.5750522163534677,0.26691862947779627,56,0.560237683430732,0.23229969541707443,56,0.3807778936634669,0.16811824424139127,56
sigma-x0.5,cohere,56,0.3108965934858792,0.21890774068631053,56,0.26703560211963573,0.17714785527004495,56,0.37576733782090926,0.22196643860175597,56,0.31551252931242424,0.18512510275612873,56,,,0,,,0,,,0,,,0,0.5580687080127605,0.259813305743647,56,0.5395406675229323,0.24200024771925344,56,0.3740172000740367,0.14226243828415167,56
smv-no-norm-k100,cohere,56,0.35032906082013227,0.20868902777430795,56,0.2922914568231906,0.1789049429739335,56,0.4174388483540269,0.21315535892409418,56,0.35202701219120947,0.18082560311681542,56,,,0,,,0,,,0,,,0,0.6010883102414492,0.26166521122759595,56,0.5738283856207952,0.22903663638416258,56,0.38636074129990433,0.17596518497638128,56
smv-norm-k100,cohere,56,0.3419867087277802,0.21111310270253897,56,0.28943991848058076,0.18127214777332984,56,0.40631871848389706,0.21721519368179287,56,0.3467626337125453,0.1843200730873318,56,,,0,,,0,,,0,,,0,0.5926234664727001,0.2598387645059944,56,0.5728356667483328,0.23033347696363585,56,0.38660483233679294,0.17868173496754514,56
wig-no-norm-k100,cohere,56,0.3108965934858792,0.21890774068631053,56,0.26703560211963573,0.17714785527004495,56,0.37576733782090926,0.22196643860175597,56,0.31551252931242424,0.18512510275612873,56,,,0,,,0,,,0,,,0,0.5580687080127605,0.259813305743647,56,0.5395406675229323,0.24200024771925344,56,0.3740172000740367,0.14226243828415167,56
wig-no-norm-k1000,cohere,56,0.3108965934858792,0.21890774068631053,56,0.26703560211963573,0.17714785527004495,56,0.37576733782090926,0.22196643860175597,56,0.31551252931242424,0.18512510275612873,56,,,0,,,0,,,0,,,0,0.5580687080127605,0.259813305743647,56,0.5395406675229323,0.24200024771925344,56,0.3740172000740367,0.14226243828415167,56
