qpp_metric,retrieval_method,n_queries,nugget_strict_vital_score_mean,nugget_strict_all_score_mean,nugget_vital_score_mean,nugget_all_score_mean,retrieval_ndcg@10_mean,retrieval_recall@100_mean
pre_IDF-avg,cohere,56,0.3937,0.3168,0.4521,0.3715,0.5102,0.3325
pre_IDF-max,cohere,56,0.379,0.2979,0.4492,0.3552,0.52,0.353
pre_IDF-std,cohere,56,0.368,0.2895,0.4401,0.3473,0.5184,0.3558
pre_IDF-sum,cohere,56,0.3933,0.3219,0.448,0.3796,0.4993,0.344
RSD,cohere,56,0.3503,0.2923,0.4174,0.352,0.5738,0.3864
pre_SCQ-avg,cohere,56,0.3569,0.2921,0.4216,0.3546,0.5117,0.3376
pre_SCQ-max,cohere,56,0.3886,0.3284,0.4415,0.3775,0.5068,0.3392
pre_SCQ-sum,cohere,56,0.3884,0.3152,0.4445,0.3738,0.496,0.3414
pre_SCS-1,cohere,56,0.3109,0.267,0.3758,0.3155,0.5395,0.374
pre_SCS-2,cohere,56,0.3715,0.3213,0.4372,0.3782,0.4939,0.3272
pre_avgICTF,cohere,56,0.3992,0.3257,0.4573,0.3835,0.5027,0.3327
clarity-score-k10,cohere,56,0.3307,0.2934,0.406,0.3491,0.5093,0.3611
clarity-score-k100,cohere,56,0.3284,0.2762,0.4133,0.3471,0.5071,0.3479
nqc-no-norm-k100,cohere,56,0.3325,0.2907,0.402,0.3509,0.5669,0.38
nqc-norm-k100,cohere,56,0.3502,0.2998,0.4228,0.3599,0.5682,0.3821
pre_ql,cohere,56,0.3859,0.3083,0.444,0.3634,0.513,0.3491
pre_rv_bert,cohere,56,0.3109,0.267,0.3758,0.3155,0.5395,0.374
pre_rv_e5,cohere,56,0.3109,0.267,0.3758,0.3155,0.5395,0.374
sigma-max,cohere,56,0.3524,0.2978,0.4279,0.3607,0.5602,0.3808
sigma-x0.5,cohere,56,0.3109,0.267,0.3758,0.3155,0.5395,0.374
smv-no-norm-k100,cohere,56,0.3503,0.2923,0.4174,0.352,0.5738,0.3864
smv-norm-k100,cohere,56,0.342,0.2894,0.4063,0.3468,0.5728,0.3866
wig-no-norm-k100,cohere,56,0.3109,0.267,0.3758,0.3155,0.5395,0.374
wig-no-norm-k1000,cohere,56,0.3109,0.267,0.3758,0.3155,0.5395,0.374
wig-norm-k100,cohere,56,0.3109,0.267,0.3758,0.3155,0.5395,0.374
wig-norm-k1000,cohere,56,0.3109,0.267,0.3758,0.3155,0.5395,0.374
original,cohere,56,0.3109,0.267,0.3758,0.3155,0.5395,0.374
max_oracle_nugget_all,cohere,56,0.5543,0.4912,0.629,0.5571,0.5566,0.3783
max_oracle_ndcg@5,cohere,56,0.3523,0.2861,0.4216,0.35,0.6529,0.3746
max_oracle_ndcg@10,cohere,56,0.3542,0.292,0.4195,0.3462,0.683,0.3868
max_oracle_recall@100,cohere,56,0.3621,0.3088,0.4329,0.3713,0.5962,0.4436
max_oracle_strict_all_score,cohere,56,0.5544,0.5024,0.6029,0.5397,0.5574,0.3767
max_oracle_strict_vital_score,cohere,56,0.6252,0.4566,0.6564,0.4993,0.5545,0.3672
max_oracle_vital_score,cohere,56,0.6222,0.4504,0.6889,0.5136,0.5521,0.3654
avg_genqr,cohere,56,0.3813,0.305,0.4494,0.3654,0.5192,0.3353
avg_genqr_ensemble,cohere,56,0.3658,0.301,0.4336,0.3588,0.4857,0.3273
avg_mugi,cohere,56,0.3787,0.2979,0.4379,0.3509,0.5344,0.3642
avg_qa_expand,cohere,56,0.3351,0.2738,0.4014,0.3338,0.5201,0.3553
avg_query2doc,cohere,56,0.3515,0.2738,0.4152,0.332,0.5521,0.3714
avg_query2e,cohere,56,0.3427,0.297,0.4109,0.3553,0.5129,0.3417
