qpp_metric,retrieval_method,n_queries,nugget_strict_vital_score_mean,nugget_strict_vital_score_std,nugget_strict_vital_score_n,nugget_strict_all_score_mean,nugget_strict_all_score_std,nugget_strict_all_score_n,nugget_vital_score_mean,nugget_vital_score_std,nugget_vital_score_n,nugget_all_score_mean,nugget_all_score_std,nugget_all_score_n,genonly_strict_vital_score_mean,genonly_strict_vital_score_std,genonly_strict_vital_score_n,genonly_strict_all_score_mean,genonly_strict_all_score_std,genonly_strict_all_score_n,genonly_vital_score_mean,genonly_vital_score_std,genonly_vital_score_n,genonly_all_score_mean,genonly_all_score_std,genonly_all_score_n,retrieval_ndcg@5_mean,retrieval_ndcg@5_std,retrieval_ndcg@5_n,retrieval_ndcg@10_mean,retrieval_ndcg@10_std,retrieval_ndcg@10_n,retrieval_recall@100_mean,retrieval_recall@100_std,retrieval_recall@100_n
pre_IDF-avg,pyserini,56,0.3319130770023627,0.2595729895755777,56,0.24979639452701705,0.19027922652459237,56,0.38127478919889635,0.2646022540286763,56,0.3061786550974825,0.21001714618827447,56,,,0,,,0,,,0,,,0,0.27385035227888055,0.26991020064656807,56,0.26416613050397997,0.24295700732227835,56,0.2093574581647238,0.1756696781878498,56
pre_IDF-max,pyserini,56,0.3146350177600178,0.24012617617759707,56,0.26017831681807796,0.1762524903215265,56,0.3928147249575821,0.22835835218958264,56,0.32329559146993364,0.1897458251474987,56,,,0,,,0,,,0,,,0,0.35910208732086935,0.29231683589831314,56,0.35886643452912825,0.26088856831198315,56,0.23795226212658957,0.17382781071483225,56
pre_IDF-std,pyserini,56,0.27031168236525377,0.2540251842192907,56,0.2343094931813972,0.22852909299811028,56,0.3303823656502228,0.2610006281186548,56,0.2852956772437229,0.24000325675578532,56,,,0,,,0,,,0,,,0,0.338559063791367,0.30660724916884413,56,0.322782385502927,0.27267133105183905,56,0.20298392131521564,0.16217767466846017,56
pre_IDF-sum,pyserini,56,0.32442418692418695,0.25455469840604406,56,0.27262785589023975,0.19877113789860354,56,0.3995102739522382,0.24946029175973444,56,0.331861405040792,0.20820694449154606,56,,,0,,,0,,,0,,,0,0.3292427112939631,0.2986337313539096,56,0.31372496846851455,0.2663353343086137,56,0.2171441020432557,0.17044093464182866,56
RSD,pyserini,56,0.32836488907917477,0.28814752298902485,56,0.24874667462985683,0.20017059727532605,56,0.40360174299906443,0.2710673576426255,56,0.3145033932171813,0.21257718995175662,56,,,0,,,0,,,0,,,0,0.3316134999638621,0.29258745539725445,56,0.320496994406109,0.26674117856509955,56,0.21991891044120151,0.16726765176107503,56
pre_SCQ-avg,pyserini,56,0.29254168450597023,0.2552517940952355,56,0.22629312958467646,0.18032344692561658,56,0.34954904966065675,0.25654859825781545,56,0.2865106742687874,0.1979560386722411,56,,,0,,,0,,,0,,,0,0.27548056030324947,0.2723486813460036,56,0.2644056234646052,0.24825680756012394,56,0.2104295882725004,0.17745823250591605,56
pre_SCQ-max,pyserini,56,0.3302083333333333,0.2223905243314271,56,0.26535701524506256,0.17725671253753794,56,0.39388010303188875,0.22229116888658215,56,0.322830842441565,0.19839081830780433,56,,,0,,,0,,,0,,,0,0.3573016615669258,0.27785106322580166,56,0.3404331892659124,0.2420025649895538,56,0.21271927878426156,0.15073480821562285,56
pre_SCQ-sum,pyserini,56,0.3271040467469039,0.2559933452603269,56,0.274693559794179,0.2013396739592893,56,0.40880925869765156,0.248942361617356,56,0.34034673098935314,0.2096014369990911,56,,,0,,,0,,,0,,,0,0.3385432776202896,0.3078858882791488,56,0.3196153848131245,0.2711723800722762,56,0.21904087085178922,0.17399816360077397,56
pre_SCS-1,pyserini,56,0.18709856611642328,0.20299009962015882,56,0.16332103354162178,0.17918042770408257,56,0.24885407251478678,0.2231530175097401,56,0.20962967646265968,0.19865842653023,56,,,0,,,0,,,0,,,0,0.28547001275054956,0.29874775562134087,56,0.2812579382090427,0.2750416162288666,56,0.1776174242426148,0.15145897886682255,56
pre_SCS-2,pyserini,56,0.32190260136688703,0.25266262450199023,56,0.2568612287265538,0.19291233735485566,56,0.391129517803625,0.24944069448555742,56,0.31979687570341603,0.20367537811461095,56,,,0,,,0,,,0,,,0,0.2964690804942332,0.27794335870540615,56,0.28116556894572803,0.23824103246501066,56,0.20979877306217046,0.16565191806060137,56
pre_avgICTF,pyserini,56,0.33799300897515183,0.25682587625351067,56,0.2543236381167606,0.19006229699838978,56,0.3947314218519576,0.25152988471185883,56,0.3160258391634165,0.20766443930496914,56,,,0,,,0,,,0,,,0,0.27481606475740117,0.2714871375216279,56,0.2649805628125922,0.24351595600997342,56,0.21000780225908752,0.17712584397100625,56
clarity-score-k10,pyserini,56,0.31423720129077276,0.2531212753325803,56,0.2511534306398305,0.1940285141552051,56,0.37417900799597226,0.24255521244541758,56,0.29765679957727176,0.19668373426926536,56,,,0,,,0,,,0,,,0,0.2860371396328488,0.2914671202740515,56,0.2783508377191987,0.26144055539648775,56,0.21120481390994833,0.17976360863353866,56
clarity-score-k100,pyserini,56,0.2651216838716839,0.2146175467507715,56,0.21959931715294387,0.16641450933271457,56,0.3412915953094524,0.21218136652600658,56,0.27987502632018335,0.17968537972211684,56,,,0,,,0,,,0,,,0,0.26898783685970357,0.2734279855145144,56,0.2685373523423364,0.2519464060992709,56,0.1965411245629971,0.17487514791959857,56
nqc-no-norm-k100,pyserini,56,0.3321089624661053,0.29666165824653173,56,0.2568416550462659,0.20777950249655877,56,0.40833723568098573,0.2797327243839624,56,0.32489364780386454,0.21763889956929294,56,,,0,,,0,,,0,,,0,0.33081138667053006,0.2952458147640639,56,0.31695078243658653,0.2618262887248762,56,0.21950902686299492,0.16037673707000136,56
nqc-norm-k100,pyserini,56,0.31996963849642424,0.28362504532811894,56,0.25775635881576286,0.20082766656000642,56,0.38454281333745616,0.26563086652524587,56,0.31474653392672247,0.21228992587702347,56,,,0,,,0,,,0,,,0,0.4068076137176475,0.3161917474598819,56,0.3759086691775586,0.29733131179053945,56,0.2536571062435579,0.1846312889913301,56
pre_ql,pyserini,56,0.3260891885891886,0.2608090485614741,56,0.2705629681635874,0.20078465795501113,56,0.4048356033847105,0.24785225817077045,56,0.3342936942443521,0.20810718783668364,56,,,0,,,0,,,0,,,0,0.34531392150950896,0.2942985644276839,56,0.3334711115548196,0.26994864271489977,56,0.22830678841854857,0.17693468246948613,56
pre_rv_bert,pyserini,56,0.18709856611642328,0.20299009962015882,56,0.16332103354162178,0.17918042770408257,56,0.24885407251478678,0.2231530175097401,56,0.20962967646265968,0.19865842653023,56,,,0,,,0,,,0,,,0,0.28547001275054956,0.29874775562134087,56,0.2812579382090427,0.2750416162288666,56,0.1776174242426148,0.15145897886682255,56
pre_rv_e5,pyserini,56,0.18709856611642328,0.20299009962015882,56,0.16332103354162178,0.17918042770408257,56,0.24885407251478678,0.2231530175097401,56,0.20962967646265968,0.19865842653023,56,,,0,,,0,,,0,,,0,0.28547001275054956,0.29874775562134087,56,0.2812579382090427,0.2750416162288666,56,0.1776174242426148,0.15145897886682255,56
sigma-max,pyserini,56,0.32649998810713093,0.2977680508876863,56,0.25799476051922426,0.20504476953799836,56,0.403769927988678,0.28230586427232945,56,0.32505468978475943,0.21376561732497035,56,,,0,,,0,,,0,,,0,0.3163966299048329,0.28999948923022756,56,0.3046998689546969,0.26234470613364114,56,0.21765100620125818,0.1611882778921433,56
sigma-x0.5,pyserini,56,0.3285162753912754,0.26710387915548595,56,0.24931782314508433,0.18892098621073825,56,0.4069412606242963,0.25086540407483704,56,0.31906387620224136,0.20005643554576313,56,,,0,,,0,,,0,,,0,0.33343397109559014,0.30064690445648806,56,0.3099209485136436,0.2529021436700483,56,0.21523656560007914,0.15689820385344616,56
smv-no-norm-k100,pyserini,56,0.32836488907917477,0.28814752298902485,56,0.24874667462985683,0.20017059727532605,56,0.40360174299906443,0.2710673576426255,56,0.3145033932171813,0.21257718995175662,56,,,0,,,0,,,0,,,0,0.3316134999638621,0.29258745539725445,56,0.320496994406109,0.26674117856509955,56,0.21991891044120151,0.16726765176107503,56
smv-norm-k100,pyserini,56,0.336265842292628,0.28340201039338647,56,0.263155647027551,0.20355413030645664,56,0.38815898882863165,0.27091760326848785,56,0.3115060703461854,0.2148771697935371,56,,,0,,,0,,,0,,,0,0.3998798500413458,0.31339999583276634,56,0.3680121819757217,0.2899264483918979,56,0.2519221628780184,0.1847709032546604,56
wig-no-norm-k100,pyserini,56,0.32470872381586663,0.2563853328048287,56,0.2515874525494163,0.18754749064773643,56,0.3906263998897928,0.2578900142928785,56,0.31379538857010114,0.2030308965727333,56,,,0,,,0,,,0,,,0,0.2958463618861164,0.27761739859637863,56,0.2805240409065059,0.23930714094305286,56,0.2033592438610689,0.15905424107989727,56
wig-no-norm-k1000,pyserini,56,0.32470872381586663,0.2563853328048287,56,0.2515874525494163,0.18754749064773643,56,0.3906263998897928,0.2578900142928785,56,0.31379538857010114,0.2030308965727333,56,,,0,,,0,,,0,,,0,0.2958463618861164,0.27761739859637863,56,0.2805240409065059,0.23930714094305286,56,0.2033592438610689,0.15905424107989727,56
wig-norm-k100,pyserini,56,0.18709856611642328,0.20299009962015882,56,0.16332103354162178,0.17918042770408257,56,0.24885407251478678,0.2231530175097401,56,0.20962967646265968,0.19865842653023,56,,,0,,,0,,,0,,,0,0.28547001275054956,0.29874775562134087,56,0.2812579382090427,0.2750416162288666,56,0.1776174242426148,0.15145897886682255,56
wig-norm-k1000,pyserini,56,0.18709856611642328,0.20299009962015882,56,0.16332103354162178,0.17918042770408257,56,0.24885407251478678,0.2231530175097401,56,0.20962967646265968,0.19865842653023,56,,,0,,,0,,,0,,,0,0.28547001275054956,0.29874775562134087,56,0.2812579382090427,0.2750416162288666,56,0.1776174242426148,0.15145897886682255,56
original,pyserini,56,0.18709856611642328,0.20299009962015882,56,0.16332103354162178,0.17918042770408257,56,0.24885407251478678,0.2231530175097401,56,0.20962967646265968,0.19865842653023,56,,,0,,,0,,,0,,,0,0.28547001275054956,0.29874775562134087,56,0.2812579382090427,0.2750416162288666,56,0.1776174242426148,0.15145897886682255,56
max_oracle_nugget_all,pyserini,56,0.5379657297068011,0.24218891707314305,56,0.45131861541083124,0.2078442583432618,56,0.6128782923425781,0.21492481782237438,56,0.5200616696577417,0.2012587866790016,56,,,0,,,0,,,0,,,0,0.39906222787802687,0.3093359315236752,56,0.3826157822619045,0.2714477306303225,56,0.23391028410996537,0.16845475086833486,56
max_oracle_ndcg@5,pyserini,56,0.32600863917828204,0.24379412048158453,56,0.2958313007910808,0.19178065906090466,56,0.4104289311878597,0.23480641537245986,56,0.3581314997858424,0.1927639090972831,56,,,0,,,0,,,0,,,0,0.6437257279646186,0.24308020420071277,56,0.5411125718403625,0.23167521628001025,56,0.2568491306291712,0.16373860945345092,56
max_oracle_ndcg@10,pyserini,56,0.32940544078936934,0.2489263477258343,56,0.284246662565161,0.20036576993531957,56,0.408975573038073,0.22689908222937114,56,0.3434875944381556,0.19240526165419855,56,,,0,,,0,,,0,,,0,0.6227585450534328,0.24013027342905024,56,0.5698211848604606,0.23808998540064438,56,0.26306579628223037,0.16342469633244158,56
max_oracle_recall@100,pyserini,56,0.35943216010180296,0.22835314047466007,56,0.2855610770409256,0.16197142403430007,56,0.4111318493014921,0.22203694443886346,56,0.33706156118287084,0.16692622153804063,56,,,0,,,0,,,0,,,0,0.49346785427145357,0.2801045880722494,56,0.44808208514346426,0.24769691754127782,56,0.33301618877967865,0.1860858630752014,56
max_oracle_strict_all_score,pyserini,56,0.5616040953094524,0.2366729723253306,56,0.466515388666815,0.20333858236142874,56,0.6028625392464678,0.22949202278739095,56,0.5035250936345584,0.2070521389695786,56,,,0,,,0,,,0,,,0,0.40335065523112273,0.3040931847959922,56,0.377103081916581,0.26148921729723346,56,0.23239837530939753,0.1743797324694952,56
max_oracle_strict_vital_score,pyserini,56,0.6010102744477744,0.22582579123186422,56,0.4261045044167833,0.21835538611604904,56,0.6309134565830995,0.22276189175104466,56,0.46633581052498296,0.22100700023956601,56,,,0,,,0,,,0,,,0,0.39099725864108453,0.292344702657128,56,0.3724257923897674,0.26039533230710343,56,0.2309096732476791,0.1616688304242384,56
