qpp_metric,retrieval_method,n_queries,nugget_strict_vital_score_mean,nugget_strict_all_score_mean,nugget_vital_score_mean,nugget_all_score_mean,retrieval_ndcg@10_mean,retrieval_recall@100_mean
pre_IDF-avg,pyserini,56,0.3319,0.2498,0.3813,0.3062,0.2642,0.2094
pre_IDF-max,pyserini,56,0.3146,0.2602,0.3928,0.3233,0.3589,0.238
pre_IDF-std,pyserini,56,0.2703,0.2343,0.3304,0.2853,0.3228,0.203
pre_IDF-sum,pyserini,56,0.3244,0.2726,0.3995,0.3319,0.3137,0.2171
RSD,pyserini,56,0.3284,0.2487,0.4036,0.3145,0.3205,0.2199
pre_SCQ-avg,pyserini,56,0.2925,0.2263,0.3495,0.2865,0.2644,0.2104
pre_SCQ-max,pyserini,56,0.3302,0.2654,0.3939,0.3228,0.3404,0.2127
pre_SCQ-sum,pyserini,56,0.3271,0.2747,0.4088,0.3403,0.3196,0.219
pre_SCS-1,pyserini,56,0.1871,0.1633,0.2489,0.2096,0.2813,0.1776
pre_SCS-2,pyserini,56,0.3219,0.2569,0.3911,0.3198,0.2812,0.2098
pre_avgICTF,pyserini,56,0.338,0.2543,0.3947,0.316,0.265,0.21
clarity-score-k10,pyserini,56,0.3142,0.2512,0.3742,0.2977,0.2784,0.2112
clarity-score-k100,pyserini,56,0.2651,0.2196,0.3413,0.2799,0.2685,0.1965
nqc-no-norm-k100,pyserini,56,0.3321,0.2568,0.4083,0.3249,0.317,0.2195
nqc-norm-k100,pyserini,56,0.32,0.2578,0.3845,0.3147,0.3759,0.2537
pre_ql,pyserini,56,0.3261,0.2706,0.4048,0.3343,0.3335,0.2283
pre_rv_bert,pyserini,56,0.1871,0.1633,0.2489,0.2096,0.2813,0.1776
pre_rv_e5,pyserini,56,0.1871,0.1633,0.2489,0.2096,0.2813,0.1776
sigma-max,pyserini,56,0.3265,0.258,0.4038,0.3251,0.3047,0.2177
sigma-x0.5,pyserini,56,0.3285,0.2493,0.4069,0.3191,0.3099,0.2152
smv-no-norm-k100,pyserini,56,0.3284,0.2487,0.4036,0.3145,0.3205,0.2199
smv-norm-k100,pyserini,56,0.3363,0.2632,0.3882,0.3115,0.368,0.2519
wig-no-norm-k100,pyserini,56,0.3247,0.2516,0.3906,0.3138,0.2805,0.2034
wig-no-norm-k1000,pyserini,56,0.3247,0.2516,0.3906,0.3138,0.2805,0.2034
wig-norm-k100,pyserini,56,0.1871,0.1633,0.2489,0.2096,0.2813,0.1776
wig-norm-k1000,pyserini,56,0.1871,0.1633,0.2489,0.2096,0.2813,0.1776
original,pyserini,56,0.1871,0.1633,0.2489,0.2096,0.2813,0.1776
max_oracle_nugget_all,pyserini,56,0.538,0.4513,0.6129,0.5201,0.3826,0.2339
max_oracle_ndcg@5,pyserini,56,0.326,0.2958,0.4104,0.3581,0.5411,0.2568
max_oracle_ndcg@10,pyserini,56,0.3294,0.2842,0.409,0.3435,0.5698,0.2631
max_oracle_recall@100,pyserini,56,0.3594,0.2856,0.4111,0.3371,0.4481,0.333
max_oracle_strict_all_score,pyserini,56,0.5616,0.4665,0.6029,0.5035,0.3771,0.2324
max_oracle_strict_vital_score,pyserini,56,0.601,0.4261,0.6309,0.4663,0.3724,0.2309
max_oracle_vital_score,pyserini,56,0.5838,0.4258,0.6489,0.485,0.3696,0.2277
avg_genqr,pyserini,56,0.3088,0.2509,0.3835,0.3137,0.2553,0.1811
avg_genqr_ensemble,pyserini,56,0.3073,0.2466,0.3711,0.3038,0.2857,0.204
avg_mugi,pyserini,56,0.3532,0.282,0.4209,0.3374,0.387,0.2538
avg_qa_expand,pyserini,56,0.2963,0.2338,0.361,0.2913,0.3301,0.2177
avg_query2doc,pyserini,56,0.3085,0.2473,0.3742,0.3031,0.3888,0.2353
avg_query2e,pyserini,56,0.2467,0.1924,0.3045,0.2458,0.3153,0.1968
